2024-07-10 18:09,Auto Layout Bar Charts,9639
2024-07-10 18:09,Figma Charts,9834
2024-07-10 18:11,Charts,425715
2024-07-10 18:11,NB Charts,176862
2024-07-10 18:11,"Chart Master 3001 - Bar, Line, Area, Candlestick, Pie, Donut, Radar Charts",14073
2024-07-10 18:11,Chartline,107544
2024-07-10 18:11,ChartGen (Beta),38258
2024-07-10 18:11,Chart,355262
2024-07-10 18:11,"i Chart - Any charts in 5 seconds - Bar, Line, Pie, Donut, Radar, Scatter, Radial",3066
2024-07-10 18:11,Charts Modifier,13579
2024-07-10 18:11,Auto Layout Bar Charts,9639
2024-07-10 18:11,Figma Charts,9834
2024-07-10 19:11,Charts,425739
2024-07-10 19:11,NB Charts,176879
2024-07-10 19:11,"Chart Master 3001 - Bar, Line, Area, Candlestick, Pie, Donut, Radar Charts",14080
2024-07-10 19:11,Chartline,107549
2024-07-10 19:11,ChartGen (Beta),38259
2024-07-10 19:11,Chart,355268
2024-07-10 19:11,"i Chart - Any charts in 5 seconds - Bar, Line, Pie, Donut, Radar, Scatter, Radial",3070
2024-07-10 19:11,Charts Modifier,13582
2024-07-10 19:11,Auto Layout Bar Charts,9640
2024-07-10 19:11,Bar Charts,7988
2024-07-10 20:11,Charts,425765
2024-07-10 20:11,NB Charts,176893
2024-07-10 20:11,"Chart Master 3001 - Bar, Line, Area, Candlestick, Pie, Donut, Radar Charts",14088
2024-07-10 20:11,Chartline,107556
2024-07-10 20:11,ChartGen (Beta),38261
2024-07-10 20:11,Chart,355275
2024-07-10 20:11,"i Chart - Any charts in 5 seconds - Bar, Line, Pie, Donut, Radar, Scatter, Radial",3077
2024-07-10 20:11,Charts Modifier,13582
2024-07-10 20:11,Auto Layout Bar Charts,9641
2024-07-10 20:11,Figma Charts,9837
2024-07-10 21:11,Charts,425788
2024-07-10 21:11,NB Charts,176908
2024-07-10 21:11,"Chart Master 3001 - Bar, Line, Area, Candlestick, Pie, Donut, Radar Charts",14102
2024-07-10 21:11,Chartline,107557
2024-07-10 21:11,ChartGen (Beta),38266
2024-07-10 21:11,Chart,355291
2024-07-10 21:11,"i Chart - Any charts in 5 seconds - Bar, Line, Pie, Donut, Radar, Scatter, Radial",3082
2024-07-10 21:11,Charts Modifier,13586
2024-07-10 21:11,Figma Charts,9840
2024-07-10 21:11,Auto Layout Bar Charts,9642
2024-07-11 08:23,Charts,425937
2024-07-11 08:23,NB Charts,176990
2024-07-11 08:23,"Chart Master 3001 - Bar, Line, Area, Candlestick, Pie, Donut, Radar Charts",14167
2024-07-11 08:23,Chartline,107607
2024-07-11 08:23,ChartGen (Beta),38288
2024-07-11 08:23,Chart,355354
2024-07-11 08:23,"i Chart - Any charts in 5 seconds - Bar, Line, Pie, Donut, Radar, Scatter, Radial",3111
2024-07-11 08:23,Charts Modifier,13591
2024-07-11 08:23,Figma Charts,9868
2024-07-11 08:23,Auto Layout Bar Charts,9648
2024-07-11 08:24,Charts,425937
2024-07-11 08:24,NB Charts,176990
2024-07-11 08:24,"Chart Master 3001 - Bar, Line, Area, Candlestick, Pie, Donut, Radar Charts",14167
2024-07-11 08:24,Chartline,107608
2024-07-11 08:24,ChartGen (Beta),38288
2024-07-11 08:24,"i Chart - Any charts in 5 seconds - Bar, Line, Pie, Donut, Radar, Scatter, Radial",3111
2024-07-11 08:24,Chart,355354
2024-07-11 08:24,Charts Modifier,13591
2024-07-11 08:24,Bar Charts,7995
2024-07-11 08:24,Auto Layout Bar Charts,9648
2024-07-11 09:24,Charts,425949
2024-07-11 09:24,NB Charts,176994
2024-07-11 09:24,"Chart Master 3001 - Bar, Line, Area, Candlestick, Pie, Donut, Radar Charts",14171
2024-07-11 09:24,Chartline,107611
2024-07-11 09:24,ChartGen (Beta),38290
2024-07-11 09:24,"i Chart - Any charts in 5 seconds - Bar, Line, Pie, Donut, Radar, Scatter, Radial",3112
2024-07-11 09:24,Chart,355359
2024-07-11 09:24,Charts Modifier,13591
2024-07-11 09:24,Figma Charts,9872
2024-07-11 09:24,Bar charts,8849
